2026-04-01_11:56:41:896 Com Port Connected : True
2026-04-01_11:56:41:898 <-FW] ESP-ROM:esp32s3-20210327
2026-04-01_11:56:41:901 <-FW] load:0x3fce3808,len:0x4bc
2026-04-01_11:56:41:904 <-FW] load:0x403c9700,len:0xbd8
2026-04-01_11:56:41:905 <-FW] load:0x403cc700,len:0x2a0c
2026-04-01_11:57:09:407 <-FW] 27511 $1800%
2026-04-01_11:57:09:917 <-FW] 28021 $1800%
2026-04-01_11:57:10:427 <-FW] 28531 $1800%
2026-04-01_11:57:10:936 <-FW] 29041 $1800%
2026-04-01_11:57:10:964 <-FW] 29069 $00%
2026-04-01_11:57:11:447 <-FW] 29551 $1800%
2026-04-01_11:57:11:956 <-FW] 30061 $1800%
2026-04-01_11:57:12:466 <-FW] 30571 $1800%
2026-04-01_11:57:12:965 <-FW] 31070 $00%
2026-04-01_11:57:12:976 <-FW] 31081 $1800%
2026-04-01_11:57:13:487 <-FW] 31591 $1800%
2026-04-01_11:57:13:996 <-FW] 32101 $1800%
2026-04-01_11:57:14:507 <-FW] 32611 $1800%
2026-04-01_11:57:14:965 <-FW] 33070 $00%
2026-04-01_11:57:15:017 <-FW] 33121 $1800%
2026-04-01_11:57:15:526 <-FW] 33631 $1800%
2026-04-01_11:57:16:037 <-FW] 34141 $1800%
2026-04-01_11:57:16:547 <-FW] 34651 $1800%
2026-04-01_11:57:16:964 AP->] $00%
2026-04-01_11:57:16:987 <-FW] 35092 $00%
2026-04-01_11:57:17:057 <-FW] 35161 $1800%
2026-04-01_11:57:17:567 <-FW] 35671 $1800%
2026-04-01_11:57:18:076 <-FW] 36181 $1800%
2026-04-01_11:57:18:587 <-FW] 36691 $1800%
2026-04-01_11:57:18:965 <-FW] 37070 $00%
2026-04-01_11:57:19:097 <-FW] 37201 $1800%
2026-04-01_11:57:19:607 <-FW] 37711 $1800%
2026-04-01_11:57:20:116 <-FW] 38221 $1800%
2026-04-01_11:57:20:627 <-FW] 38731 $1800%
2026-04-01_11:57:20:965 <-FW] 39069 $00%
2026-04-01_11:57:21:136 <-FW] 39241 $1800%
2026-04-01_11:57:21:646 <-FW] 39751 $1800%
2026-04-01_11:57:22:156 <-FW] 40261 $1800%
2026-04-01_11:57:22:667 <-FW] 40771 $1800%
2026-04-01_11:57:23:177 <-FW] 41281 $1800%
2026-04-01_11:57:23:687 <-FW] 41791 $1800%
2026-04-01_11:57:24:196 <-FW] 42301 $1800%
2026-04-01_11:57:24:707 <-FW] 42811 $1800%
2026-04-01_11:57:25:217 <-FW] 43321 $1800%
2026-04-01_11:57:25:726 <-FW] 43831 $1800%
2026-04-01_11:57:26:236 <-FW] 44341 $1800%
2026-04-01_11:57:26:746 <-FW] 44851 $1800%
2026-04-01_11:57:27:257 <-FW] 45361 $1800%
2026-04-01_11:57:27:766 <-FW] 45871 $1800%
2026-04-01_11:57:28:277 <-FW] 46381 $1800%
2026-04-01_11:57:28:787 <-FW] 46891 $1800%
2026-04-01_11:57:29:297 <-FW] 47401 $1800%
2026-04-01_11:57:29:806 <-FW] 47911 $1800%
2026-04-01_11:57:30:317 <-FW] 48421 $1800%
2026-04-01_11:57:30:827 <-FW] 48931 $1800%
2026-04-01_11:57:31:337 <-FW] 49441 $1800%
